,intern_role,company_name,hiring_type,location,job_offer(LPA),duration(months),posted_time,early_applicant,apply_links,stipend_min,stipend_max
0,Social Entrepreneurship,NayePankh Foundation,1.0,Workfromhome,0.0,3.0,0,No,https://internshala.com/internship/detail/work-from-home-part-time-social-entrepreneurship-internship-at-nayepankh-foundation1750659869,1500.0,10000
1,Business Development (Sales),BeingLoop,1.0,"Mumbai,Dahisar",0.0,3.0,14,No,https://internshala.com/internship/detail/business-development-sales-internship-in-dahisar-at-beingloop1749531928,12000.0,22000
2,Business Development (Sales),NayePankh Foundation,1.0,Workfromhome,0.0,3.0,0,No,https://internshala.com/internship/detail/work-from-home-part-time-business-development-sales-internship-at-nayepankh-foundation1750661713,1500.0,10000
3,1 Week Virtual Charity Drive (Fundraising),NayePankh Foundation,1.0,Workfromhome,0.0,3.0,0,No,https://internshala.com/internship/detail/work-from-home-part-time-1-week-virtual-charity-drive-fundraising-internship-at-nayepankh-foundation1750659909,1500.0,10000
4,Graphic Design,Kweesha,1.0,Lucknow,3.6,4.0,1,yes,https://internshala.com/internship/detail/graphic-design-internship-in-lucknow-at-kweesha1750595852,9000.0,18000
5,State Insurance Officer,Axi Workforce Pvt Ltd,1.0,"Hisar,Barsat,Chirao,Agroha,Biana,AryaNagar,Bagla,Kalirawan,Bhaini,Panjlasa,Kabrel,Badhawar,ChuliBagriyan,Ladwi,Asrawan",0.0,6.0,0,yes,https://internshala.com/internship/detail/state-insurance-officer-internship-in-multiple-locations-at-axi-workforce-pvt-ltd1750665544,9000.0,15000
6,Video Content Creator,Naiplus Solution Private Limited,1.0,Ahmedabad,0.0,6.0,7,No,https://internshala.com/internship/detail/part-time-video-content-creator-internship-in-ahmedabad-at-naiplus-solution-private-limited1749629181,2000.0,5000
7,Sales,Propmatrix Platforms Private Limited,1.0,Pune,0.0,6.0,7,No,https://internshala.com/internship/detail/sales-internship-in-pune-at-propmatrix-platforms-private-limited1749561370,8000.0,10000
8,Law/Legal,Movi Ecoserve Private Limited,1.0,Delhi,0.0,6.0,7,No,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-movi-ecoserve-private-limited1750134184,5000.0,7000
9,Business Development (Sales),Jayant Kelkar,1.0,Pune,0.0,6.0,2,No,https://internshala.com/internship/detail/business-development-sales-internship-in-pune-at-jayant-kelkar1750490463,7000.0,13000
10,Backend Development,LiveIntuitions Technologies,1.0,Bangalore,5.4,6.0,0,yes,https://internshala.com/internship/detail/backend-development-internship-in-bangalore-at-liveintuitions-technologies1750743288,15000.0,25000
11,Human Resources (HR),Triceria Solutions,1.0,Delhi,0.0,3.0,0,yes,https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-triceria-solutions1750741363,3000.0,5000
12,Marketing,Elythra Edufyi Tech Solutions,1.0,Workfromhome,6.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-marketing-internship-at-elythra-edufyi-tech-solutions1750744412,1000.0,20000
13,Social Media Marketing,Nytarra Naturals,1.0,Noida,5.0,3.0,0,yes,https://internshala.com/internship/detail/social-media-marketing-internship-in-noida-at-nytarra-naturals1750743778,5000.0,10000
14,Customer Service/Customer Support,Prisms,1.0,Pune,0.0,6.0,2,yes,https://internshala.com/internship/detail/customer-service-customer-support-internship-in-pune-at-prisms1750509913,8000.0,12000
15,Video Editing/Making,Scalar Tech Media Private Limited,1.0,Mumbai,3.0,3.0,0,yes,https://internshala.com/internship/detail/video-editing-making-internship-in-mumbai-at-scalar-tech-media-private-limited1750739068,10000.0,15000
16,Social Work,Kshitiksha Foundation,1.0,Workfromhome,0.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-social-work-internship-at-kshitiksha-foundation1750743579,5000.0,10000
17,Inside Sales,Digital ROI,1.0,Pune,3.0,3.0,0,yes,https://internshala.com/internship/detail/inside-sales-internship-in-pune-at-digital-roi1750742223,10000.0,16000
18,Cyber Security,Nexotech Solutions,1.0,"Kollam,Kottayam,Kozhikode,Pathanamthitta,Thiruvananthapuram,Thrissur,Malappuram,Alappuzha,Wayanad,Idukki,Kochi,Ernakulam,Palakkad,Kannur,Kasaragod",3.5,3.0,0,yes,https://internshala.com/internship/detail/cyber-security-internship-in-multiple-locations-at-nexotech-solutions1750738904,10000.0,12000
19,Founders Office Trainee,Grexa AI Private Limited,1.0,"NaviMumbai,Mumbai",0.0,6.0,0,yes,https://internshala.com/internship/detail/founders-office-trainee-internship-in-multiple-locations-at-grexa-ai-private-limited1750739009,20000.0,25000
20,Content and Social Media Marketing,SiftLens Media,1.0,Workfromhome,0.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-content-and-social-media-marketing-internship-at-siftlens-media1750743073,5000.0,6000
21,CAD Design,Harshaz Studio,0.0,"Hyderabad,Moinabad",0.0,6.0,7,No,https://internshala.com/internship/detail/cad-design-internship-in-multiple-locations-at-harsha-durugadda1749557218,13500.0,15000
22,Teaching,SiftLens Media,1.0,Workfromhome,0.0,2.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-teaching-internship-at-siftlens-media1750741933,5000.0,6000
23,Teaching,SiftLens Media,1.0,Workfromhome,0.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-teaching-internship-at-siftlens-media1750743621,5000.0,6000
24,MIS/Data - Sales,PadCare Labs,1.0,Pune,0.0,3.0,0,yes,https://internshala.com/internship/detail/mis-data-sales-internship-in-pune-at-padcare-labs1750742973,12000.0,15000
25,Transcription Expert (Gujarati Audio To Gujarati Text),Solvitude,1.0,Workfromhome,0.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-transcription-expert-gujarati-audio-to-gujarati-text-internship-at-solvitude1750742109,3000.0,15000
26,Transcription Expert (Marathi Audio To Marathi Text),Solvitude,1.0,Workfromhome,0.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-transcription-expert-marathi-audio-to-marathi-text-internship-at-solvitude1750742216,3000.0,15000
27,Data Entry,Pepmedia Services,1.0,Mumbai,0.0,5.0,0,yes,https://internshala.com/internship/detail/data-entry-internship-in-mumbai-at-pepmedia-services1750739313,8000.0,10000
28,Interior Design,Elements,1.0,Mumbai,3.0,6.0,0,yes,https://internshala.com/internship/detail/interior-design-internship-in-mumbai-at-elements1750741189,7000.0,16000
29,Full Stack Development,iTech Mission Private Limited,1.0,Delhi,0.0,6.0,0,yes,https://internshala.com/internship/detail/full-stack-development-internship-in-delhi-at-itech-mission-private-limited1750743385,5000.0,10000
30,Drawing Artist,SiftLens Media,1.0,Workfromhome,0.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-drawing-artist-internship-at-siftlens-media1750741791,5000.0,6000
31,Search Engine Optimization (SEO),Universal Adventures,1.0,Workfromhome,0.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-search-engine-optimization-seo-internship-at-universal-adventures1750742239,5000.0,10000
32,Content and Social Media Marketing,Lit Amor,1.0,Workfromhome,5.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-content-and-social-media-marketing-internship-at-lit-amor1750742827,1500.0,10000
33,Multimedia Design,PadCare Labs,1.0,Pune,4.0,3.0,0,yes,https://internshala.com/internship/detail/multimedia-design-internship-in-pune-at-padcare-labs1750740316,10000.0,18000
34,Subject Matter Expert For School Books: Computer Science And Artificial Intelligence,Arihant Publications,1.0,"Delhi,GreaterNoida,Noida",3.0,3.0,0,yes,https://internshala.com/internship/detail/subject-matter-expert-for-school-books-computer-science-and-artificial-intelligence-internship-in-multiple-locations-at-arihant-publications1750742023,7000.0,9000
35,Influencer Marketing,Graps Marketing Pvt Ltd,1.0,Bhopal,0.0,3.0,0,yes,https://internshala.com/internship/detail/influencer-marketing-internship-in-bhopal-at-graps-marketing-pvt-ltd1750696267,3000.0,4000
36,Graphic Design,Digitally Next,1.0,Delhi,0.0,3.0,0,yes,https://internshala.com/internship/detail/graphic-design-internship-in-delhi-at-digitally-next1750740378,5000.0,15000
37,Transcription QA Expert (Marathi Language),Solvitude,1.0,Workfromhome,0.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-transcription-qa-expert-marathi-language-internship-at-solvitude1750742642,3000.0,15000
38,Punjabi Transcription QA Expert,Solvitude,1.0,Workfromhome,0.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-punjabi-transcription-qa-expert-internship-at-solvitude1750742762,3000.0,15000
39,Graphic Design,DeMasters Creative Studio,1.0,Nagpur,0.0,3.0,0,yes,https://internshala.com/internship/detail/graphic-design-internship-in-nagpur-at-demasters-creative-studio1750739374,6000.0,8000
40,Transcription Expert Punjabi (Punjabi Audio To Text),Solvitude,1.0,Workfromhome,0.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-transcription-expert-punjabi-punjabi-audio-to-text-internship-at-solvitude1750742286,3000.0,15000
41,Transcription QA Expert (Gujarati Language),Solvitude,1.0,Workfromhome,0.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-transcription-qa-expert-gujarati-language-internship-at-solvitude1750742536,3000.0,15000
42,Social Sector Marketing (SS),Pawzz,1.0,Workfromhome,0.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-social-sector-marketing-ss-internship-at-pawzz1750740400,1500.0,8000
43,UI/UX Design,Sugary,1.0,Mumbai,0.0,4.0,0,yes,https://internshala.com/internship/detail/ui-ux-design-internship-in-mumbai-at-sugary1750739921,15000.0,20000
44,Video Editing/Making,Janitri Innovations Private Limited,1.0,Bangalore,0.0,6.0,0,yes,https://internshala.com/internship/detail/video-editing-making-internship-in-bangalore-at-janitri-innovations-private-limited1750740035,15000.0,15001
45,Content Writing,Janitri Innovations Private Limited,1.0,Bangalore,0.0,6.0,0,yes,https://internshala.com/internship/detail/content-writing-internship-in-bangalore-at-janitri-innovations-private-limited1750739856,10000.0,15000
46,Digital Marketing,Janitri Innovations Private Limited,1.0,Bangalore,0.0,6.0,0,yes,https://internshala.com/internship/detail/digital-marketing-internship-in-bangalore-at-janitri-innovations-private-limited1750740157,15000.0,15001
47,Software Development,Edith Defence Systems Private Limited,1.0,NaviMumbai,0.0,4.0,0,yes,https://internshala.com/internship/detail/software-development-internship-in-navi-mumbai-at-edith-defence-systems-private-limited1750741106,12000.0,15000
48,Graphic Design,Janitri Innovations Private Limited,1.0,Bangalore,0.0,6.0,0,yes,https://internshala.com/internship/detail/graphic-design-internship-in-bangalore-at-janitri-innovations-private-limited1750739976,15000.0,15001
49,Human Resources (HR),Quantazone,1.0,Workfromhome,0.0,6.0,0,yes,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-quantazone1750741703,5000.0,10000
50,Sales and Marketing,Quantazone,1.0,Workfromhome,0.0,6.0,0,yes,https://internshala.com/internship/detail/work-from-home-sales-and-marketing-internship-at-quantazone1750741496,5000.0,10000
51,Sales And Outreach (S&O),Pawzz,1.0,Workfromhome,0.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-sales-and-outreach-s-o-internship-at-pawzz1750741638,1500.0,8000
52,Video Animator,Pujitha Prathipati,1.0,Workfromhome,0.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-video-animator-internship-at-pujitha-prathipati1750740713,5000.0,10000
53,Video Editing/Making,Skil.ai,1.0,Visakhapatnam,0.0,3.0,0,yes,https://internshala.com/internship/detail/video-editing-making-internship-in-visakhapatnam-at-skilai1750662394,5000.0,10000
54,Sales and Marketing,Amaya Decors,1.0,Moradabad,0.0,3.0,0,yes,https://internshala.com/internship/detail/sales-and-marketing-internship-in-moradabad-at-amaya-decors1750659399,7000.0,9000
55,Teaching,SiftLens Media,1.0,Workfromhome,0.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-teaching-internship-at-siftlens-media1750740532,5000.0,6000
56,Graphic Design,ServiceHive,1.0,Workfromhome,8.0,6.0,0,yes,https://internshala.com/internship/detail/work-from-home-graphic-design-internship-at-servicehive1750740906,10000.0,18000
57,Content and Social Media Marketing,Indogenmed Healthacare Private Ltd.,1.0,Jaipur,0.0,3.0,0,yes,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-jaipur-at-indogenmed-healthacare-private-ltd1750673242,5000.0,10000
58,Digital Marketing,Cannibals Media Pvt. Ltd.,1.0,Workfromhome,0.0,3.0,0,yes,https://internshala.com/internship/detail/work-from-home-part-time-digital-marketing-internship-at-cannibals-media-pvt-ltd1750738780,5000.0,10000
59,Talent Acquisition,Draconic AI,1.0,Bangalore,0.0,3.0,0,yes,https://internshala.com/internship/detail/talent-acquisition-internship-in-bangalore-at-draconic-ai1750683089,5000.0,10000
60,Business Development (Sales),Aihiom Solz Private Limited,1.0,Workfromhome,3.0,6.0,0,yes,https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-aihiom-solz-private-limited1750738857,5000.0,10000
61,Digital Marketing,Quantazone,1.0,Workfromhome,0.0,6.0,0,yes,https://internshala.com/internship/detail/work-from-home-digital-marketing-internship-at-quantazone1750741606,5000.0,10000
62,Interior Design,Ritesh Shah,1.0,Mumbai,0.0,6.0,0,yes,https://internshala.com/internship/detail/interior-design-internship-in-mumbai-at-ritesh-shah1750679332,8000.0,10000
63,Front End Development,LiveIntuitions Technologies,1.0,Bangalore,5.4,6.0,0,No,https://internshala.com/internship/detail/front-end-development-internship-in-bangalore-at-liveintuitions-technologies1750690990,18000.0,25000
64,Digital Marketing,Eduminatti,1.0,Lucknow,0.0,2.0,1,yes,https://internshala.com/internship/detail/digital-marketing-internship-in-lucknow-at-eduminatti1750645575,2000.0,2100
65,Video Editing/Making,Institute Of Admissions Professionals,1.0,Bangalore,0.0,6.0,0,yes,https://internshala.com/internship/detail/video-editing-making-internship-in-bangalore-at-institute-of-admissions-professionals1750664400,6000.0,12500
66,Recruitment Consultant,Hustlr Staffing Services,1.0,Lucknow,2.4,3.0,1,No,https://internshala.com/internship/detail/recruitment-consultant-internship-in-lucknow-at-hustlr-staffing-services1750654531,10000.0,15000
67,Videography,Scalar Tech Media Private Limited,1.0,Mumbai,0.0,3.0,0,yes,https://internshala.com/internship/detail/videography-internship-in-mumbai-at-scalar-tech-media-private-limited1750671442,12000.0,20000
68,Digital Marketing,UniteGrid Infocomm,1.0,Bangalore,0.0,3.0,0,yes,https://internshala.com/internship/detail/digital-marketing-internship-in-bangalore-at-unitegrid-infocomm1750664985,5000.0,6000
69,Administration Trainee,Avaesa,1.0,Chennai,0.0,3.0,0,yes,https://internshala.com/internship/detail/administration-trainee-internship-in-chennai-at-avaesa1750675481,5000.0,10000
70,PHP Development,Trully Capital Fintech Private Limited,1.0,"Pune,Pimpri-Chinchwad",0.0,6.0,0,yes,https://internshala.com/internship/detail/php-development-internship-in-multiple-locations-at-trully-capital-fintech-private-limited1750664086,8000.0,10000
71,Telecalling(Female),Elevate X Solutions,1.0,Bhubaneswar,0.0,6.0,1,yes,https://internshala.com/internship/detail/telecalling-internship-in-bhubaneswar-at-elevate-x-solutions1750580633,5000.0,10000
72,Human Resources (HR),Wehire Talent Solutions,1.0,Mumbai,0.0,6.0,0,No,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-wehire-talent-solutions1750659473,5000.0,7000
73,Hardware And Power Electronics,Revogreen Technologies Private Limited,1.0,Pune,0.0,5.0,1,No,https://internshala.com/internship/detail/hardware-and-power-electronics-internship-in-pune-at-revogreen-technologies-private-limited1750652396,5000.0,10000
74,Business Development (Sales),Bee Online Communication Private Limited,1.0,Mumbai,0.0,6.0,1,No,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-bee-online-communication-private-limited1750653356,5000.0,12000
75,Founders Office,Evoxia Labs India Private Limited,1.0,Chennai,4.0,6.0,1,yes,https://internshala.com/internship/detail/founders-office-internship-in-chennai-at-evoxia-labs-india-private-limited1750655015,5000.0,10000
76,Law/Legal,Mr n Mrs Pet,1.0,Jaipur,0.0,6.0,2,No,https://internshala.com/internship/detail/law-legal-internship-in-jaipur-at-mr-n-mrs-pet1750506439,10000.0,15000
77,Business Development (Sales),Chain Bihari Ashray Foundation,1.0,"Ahmedabad,Mathura",0.0,3.0,2,yes,https://internshala.com/internship/detail/part-time-business-development-sales-internship-in-multiple-locations-at-chain-bihari-ashray-foundation1750535093,3000.0,8000
78,Human Resources (HR),Highrise Management And Wellness Services,1.0,"Ahmedabad,Navrangpura",0.0,2.0,2,yes,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-highrise-management-and-wellness-services1750502641,2000.0,3000
79,Human Resources (HR),Graps Marketing Pvt Ltd,1.0,Bhopal,0.0,3.0,0,No,https://internshala.com/internship/detail/human-resources-hr-internship-in-bhopal-at-graps-marketing-pvt-ltd1750696021,2000.0,3000
80,Data Analytics,Palk Street,1.0,Hyderabad,0.0,6.0,1,yes,https://internshala.com/internship/detail/data-analytics-internship-in-hyderabad-at-palk-street1750655261,6000.0,8000
81,Logistics And Operations,Indian Gifts Portal,1.0,Mumbai,0.0,2.0,0,No,https://internshala.com/internship/detail/logistics-and-operations-internship-in-mumbai-at-indian-gifts-portal1750672513,10000.0,15000
82,Accounting & Taxation,Shah and Doshi,1.0,"Thane,Mumbai",0.0,6.0,1,No,https://internshala.com/internship/detail/accounting-taxation-internship-in-multiple-locations-at-shah-and-doshi1750654121,10000.0,12500
84,Client Servicing,ROHA ASSOCIATES LLP,1.0,Punewadi,0.0,3.0,5,yes,https://internshala.com/internship/detail/part-time-client-servicing-internship-in-punewadi-at-pratik-kale1750249235,6000.0,18500
85,Video & Marketing Field Associate,Vypzee,1.0,"Delhi,Gurgaon,Noida",4.0,6.0,0,No,https://internshala.com/internship/detail/video-marketing-field-associate-internship-in-multiple-locations-at-vypzee1750680248,20000.0,10000
86,Sales and Marketing,Landmark Realty,1.0,Mumbai,0.0,6.0,3,yes,https://internshala.com/internship/detail/sales-and-marketing-internship-in-mumbai-at-landmark-realty1750422517,5000.0,10000
87,Architecture,RampMyCity,1.0,Mumbai,0.0,4.0,3,yes,https://internshala.com/internship/detail/architecture-internship-in-mumbai-at-rampmycity1750400603,20000.0,25000
88,Event Management,TEAMCORE EVENTS,1.0,"Faridabad,Delhi,Ghaziabad,Gurgaon,GreaterNoida,Noida,North,West,Manesar,South,SouthEast",0.0,3.0,0,No,https://internshala.com/internship/detail/part-time-event-management-internship-in-multiple-locations-at-teamcore-events1750680071,10000.0,15000
89,Video Editing/Making,Avaesa,1.0,Chennai,0.0,4.0,2,No,https://internshala.com/internship/detail/video-editing-making-internship-in-chennai-at-avaesa1750505031,10000.0,12000
90,IT Sales,NexGen Innovators IT Services Private Limited,1.0,Delhi,3.0,3.0,3,No,https://internshala.com/internship/detail/it-sales-internship-in-delhi-at-nexgen-innovators-it-services-private-limited1750419419,8000.0,10000
91,Company Secretary (CS),Bhat Joshi & Co. LLP,1.0,Pune,0.0,24.0,3,yes,https://internshala.com/internship/detail/company-secretary-cs-internship-in-pune-at-bhat-joshi-co-llp1750412429,6000.0,12000
92,Graphic Design,The Trading Fox,1.0,Jaipur,3.0,6.0,3,No,https://internshala.com/internship/detail/graphic-design-internship-in-jaipur-at-the-trading-fox1750411572,15000.0,20000
93,Graphic Design,Alphanumeric Ideas Private Limited,1.0,Mohali,2.4,3.0,4,yes,https://internshala.com/internship/detail/part-time-graphic-design-internship-in-mohali-at-alphanumeric-ideas-private-limited1750397913,2000.0,6000
94,Photography,Www.preciouscarats.com,1.0,"Faridabad,Gurgaon,Delhi",0.0,2.0,1,No,https://internshala.com/internship/detail/photography-internship-in-multiple-locations-at-wwwpreciouscaratscom1750656024,5000.0,10000
95,Sales,BNM Business Solutions LLP,1.0,Vadodara,1.0,2.0,7,No,https://internshala.com/internship/detail/sales-internship-in-vadodara-at-bnm-business-solutions-llp1750049495,5000.0,10000
96,Business Development (Sales),Pro India,1.0,Gurgaon,3.0,6.0,1,No,https://internshala.com/internship/detail/business-development-sales-internship-in-gurgaon-at-pro-india1750646015,10000.0,32000
97,Architecture,Yupland,1.0,Delhi,0.0,4.0,5,yes,https://internshala.com/internship/detail/architecture-internship-in-delhi-at-yupland1750243292,10000.0,13000
98,Videography,The Trading Fox,1.0,Jaipur,2.0,6.0,5,yes,https://internshala.com/internship/detail/videography-internship-in-jaipur-at-the-trading-fox1750227207,5000.0,10000
99,Telecalling,TURANT LOGISTICS,1.0,Patna,0.0,3.0,7,No,https://internshala.com/internship/detail/telecalling-internship-in-patna-at-turant-logistics1750053498,6000.0,15000
100,Chartered Accountancy (CA),Jimulia Devang Dahyalal,1.0,Mumbai,0.0,12.0,21,yes,https://internshala.com/internship/detail/chartered-accountancy-ca-internship-in-mumbai-at-jimulia-devang-dahyalal1748069770,5000.0,10000
101,Social Media Ads,Sid&co,1.0,Jaipur,0.0,6.0,4,No,https://internshala.com/internship/detail/social-media-ads-internship-in-jaipur-at-sid-co1750327232,8000.0,10000
102,Human Resources (HR),First Attempt,1.0,Jaipur,0.0,3.0,4,No,https://internshala.com/internship/detail/human-resources-hr-internship-in-jaipur-at-first-attempt1750326761,10000.0,10000
103,Customer Service/Customer Support,The Trading Fox,1.0,Jaipur,3.0,6.0,5,No,https://internshala.com/internship/detail/customer-service-customer-support-internship-in-jaipur-at-the-trading-fox1750309211,10000.0,15000
104,Content Writing,Zero Dimensions,1.0,Ahmedabad,0.0,6.0,7,yes,https://internshala.com/internship/detail/content-writing-internship-in-ahmedabad-at-zero-dimensions1750139099,5000.0,10000
105,Social Media Marketing,Minus Equals Plus,1.0,"Mapusa,SouthGoa,Candolim,NorthGoa,GoaVelha,Calangute,Saligao,Pilerne,Panaji,Tiswadi",0.0,6.0,7,yes,https://internshala.com/internship/detail/social-media-marketing-internship-in-multiple-locations-at-minus-equals-plus1749610762,5000.0,10000
106,Architecture,Setu Design Studio,1.0,Delhi,0.0,4.0,14,yes,https://internshala.com/internship/detail/architecture-internship-in-delhi-at-setu-design-studio1749126011,5000.0,10000
107,Video Editing/Making,Mangostine Technologies Private Limited,1.0,Panipat,0.0,4.0,14,No,https://internshala.com/internship/detail/video-editing-making-internship-in-panipat-at-mangostine-technologies-private-limited1748935431,5000.0,10000
108,Logistics And Operations,WhizJuniors,1.0,Vasai,0.0,6.0,2,No,https://internshala.com/internship/detail/logistics-and-operations-internship-in-vasai-at-whizjuniors1750505982,6000.0,8000
109,Company Secretary (CS),Registration Arena,1.0,"Pune,Pimpri-Chinchwad",0.0,6.0,5,yes,https://internshala.com/internship/detail/company-secretary-cs-internship-in-multiple-locations-at-registration-arena1750233514,5000.0,10000
110,Architecture,Collabtec Design Build Private Limited,1.0,"Thane,Mumbai",2.4,6.0,4,yes,https://internshala.com/internship/detail/architecture-internship-in-thane-at-collabtec-design-build-private-limited1750314822,9000.0,10000
111,Content and Social Media Marketing,DRK Productions,1.0,Jaipur,0.0,3.0,3,No,https://internshala.com/internship/detail/part-time-content-and-social-media-marketing-internship-in-jaipur-at-drk-productions1750402468,6000.0,15000
112,Digitization & Archival Research,Studio Mahatta,1.0,Srinagar,0.0,3.0,21,yes,https://internshala.com/internship/detail/digitization-archival-research-internship-in-srinagar-at-studio-mahatta1748510946,9000.0,10000
113,Content Creation,The Trading Fox,1.0,Jaipur,3.0,6.0,6,No,https://internshala.com/internship/detail/content-creation-internship-in-jaipur-at-the-trading-fox1750142376,7000.0,10000
114,Amazon Ads Executive,EMIAC,1.0,Jaipur,0.0,6.0,7,No,https://internshala.com/internship/detail/amazon-ads-executive-internship-in-jaipur-at-emiac1749920979,5000.0,7000
115,Reels Creator,The Trading Fox,1.0,Jaipur,3.0,6.0,4,No,https://internshala.com/internship/detail/part-time-reels-creator-internship-in-jaipur-at-the-trading-fox1750332479,15000.0,20000
116,Sales Executive (Female),Requin Solutions Private Limited,1.0,Jaipur,0.0,6.0,21,yes,https://internshala.com/internship/detail/sales-executive-female-internship-in-jaipur-at-requin-solutions-private-limited1748334128,9000.0,10000
117,Social Media Marketing,EMIAC,1.0,Jaipur,0.0,5.0,7,No,https://internshala.com/internship/detail/social-media-marketing-internship-in-jaipur-at-emiac1749893369,5000.0,7000
118,Digital Marketing Manager,Paudhewale.com,1.0,Patna,0.0,3.0,14,No,https://internshala.com/internship/detail/part-time-digital-marketing-manager-internship-in-patna-at-paudhewalecom1749448649,5000.0,8000
119,Customer Support (Female),Livvasa,1.0,Jaipur,6.0,6.0,21,yes,https://internshala.com/internship/detail/customer-support-female-internship-in-jaipur-at-livvasa1747910329,5000.0,6000
120,Environmental Sciences,Pro India,1.0,Gurgaon,3.5,4.0,1,No,https://internshala.com/internship/detail/environmental-sciences-internship-in-gurgaon-at-pro-india1750645641,13000.0,24000
121,Law/Legal,Movi Ecoserve Private Limited,1.0,Mumbai,0.0,6.0,7,No,https://internshala.com/internship/detail/law-legal-internship-in-mumbai-at-movi-ecoserve-private-limited1750133520,5000.0,7000
122,Telecalling,Bansal Classes Pvt. Ltd. Uttarakhand,1.0,Dehradun,2.5,3.0,21,yes,https://internshala.com/internship/detail/telecalling-internship-in-dehradun-at-bansal-classes-pvt-ltd-uttarakhand1748496056,5800.0,9000
123,Human Resources (HR),Pehchaan AI Technologies,1.0,Kolkata,0.0,6.0,4,No,https://internshala.com/internship/detail/human-resources-hr-internship-in-kolkata-at-pehchaan-ai-technologies1750340683,8000.0,10000
124,Sales Telecalling ( Trading Application),Ashika Group,1.0,Kolkata,0.0,3.0,4,No,https://internshala.com/internship/detail/sales-telecalling-internship-in-kolkata-at-ashika-group1750334710,5000.0,10000
125,Content Writing,EMIAC,1.0,Jaipur,0.0,4.0,7,No,https://internshala.com/internship/detail/content-writing-internship-in-jaipur-at-emiac1749648956,5000.0,8000
126,Sales,BNM Business Solutions LLP,1.0,Vadodara,1.0,2.0,14,No,https://internshala.com/internship/detail/sales-internship-in-vadodara-at-bnm-business-solutions-llp1749128687,5000.0,10000
127,Architecture,Parabola Architects,1.0,"Pune,Mumbai,Maharashtra,Punjab",0.0,4.0,4,yes,https://internshala.com/internship/detail/architecture-internship-in-multiple-locations-at-parabola-architects1750328728,7000.0,13000
128,Content Creation,The Trading Fox,1.0,Jaipur,3.0,2.0,7,No,https://internshala.com/internship/detail/content-creation-internship-in-jaipur-at-the-trading-fox1750136656,7000.0,10000
129,Customer Success Operations,Faclon,1.0,Mumbai,0.0,3.0,4,No,https://internshala.com/internship/detail/customer-success-operations-internship-in-mumbai-at-faclon1750393829,7000.0,10000
130,Architecture,Construma.co.in,1.0,Mumbai,0.0,3.0,21,yes,https://internshala.com/internship/detail/architecture-internship-in-mumbai-at-construmacoin1748503297,5000.0,6000
131,Administration,Polymechplast Machines Ltd (PML),1.0,Vadodara,0.0,6.0,21,No,https://internshala.com/internship/detail/administration-internship-in-vadodara-at-polymechplast-machines-ltd-pml1748250497,6000.0,12000
132,Graphic Design,CyberFrat,1.0,Mumbai,0.0,4.0,4,No,https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-cyberfrat1750398116,7000.0,10000
133,Campus Ambassador,Parivestra,1.0,Thiruvananthapuram,0.0,3.0,14,yes,https://internshala.com/internship/detail/campus-ambassador-programme-at-parivestra1749468848,5000.0,10000
134,Human Resources (HR),Precision Metallurgy India Private Limited,1.0,Ludhiana,0.0,2.0,7,No,https://internshala.com/internship/detail/human-resources-hr-internship-in-ludhiana-at-precision-metallurgy-india-private-limited1749712408,8000.0,10000
135,Video Editing/Making,GlassMate Media,1.0,Mumbai,0.0,3.0,3,yes,https://internshala.com/internship/detail/video-editing-making-internship-in-mumbai-at-glassmate-media1750419809,8000.0,10000
136,Digital Marketing,Tacheon,1.0,Chennai,3.6,3.0,3,No,https://internshala.com/internship/detail/digital-marketing-internship-in-chennai-at-tacheon1750405722,8000.0,12000
